source,command,label,baseline_state,state,repeat,status,baseline_status,byte_index,baseline_byte,state_byte,bit_deltas,baseline_payload,state_payload
logs\bcm_confirmed_fault_20260502_0001_bcm_light_capture.json,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,clean_baseline_off,confirmed_fault_right_fog_on,1,positive,positive,16,2B,6B,b6:0->1,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,6206003AB02BBF08A10000003008006D6B0CD000C0412F60860000200000000000
logs\bcm_repeat_fault_20260502_0002_bcm_light_capture.json,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,clean_baseline_off,repeat_fault_right_fog_on,1,positive,positive,16,2B,6B,b6:0->1,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,6206003AB02BBF08A10000003008006D6B0CD000C0412F60860000200000000000
logs\bcm_parking_no_fog_20260502_0004_bcm_light_capture.json,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,clean_baseline_off,parking_no_fog_after_fault,1,positive,positive,16,2B,6B,b6:0->1,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,6206003AB02BBF08A10000003008006D6B0CD000C0412F60860000200000000000
