attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
direct_ctr0_220601,direct_read,2026-04-29T10:27:18.235,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_220601.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,220601,Carista-shaped UDS companion DID from the current BCM identity/status sweep,no_response,,,"[{""timestamp"":""2026-04-29T10:27:23.872"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:27:25.175"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:27:25.175"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A8"",""tp20_label"":""TP2.0 disconnect/close frame""}]",
direct_ctr0_22F187,direct_read,2026-04-29T10:27:27.248,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_22F187.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F187,,no_response,,,"[{""timestamp"":""2026-04-29T10:27:32.831"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22F189,direct_read,2026-04-29T10:27:36.197,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_22F189.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F189,,no_response,,,"[{""timestamp"":""2026-04-29T10:27:41.708"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22F197,direct_read,2026-04-29T10:27:45.070,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_22F197.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F197,,no_response,,,"[{""timestamp"":""2026-04-29T10:27:50.705"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22F1A3,direct_read,2026-04-29T10:27:54.089,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_22F1A3.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F1A3,,positive,62F1A3483436,,"[{""timestamp"":""2026-04-29T10:27:59.736"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:28:01.046"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:28:01.046"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:28:02.200"",""source"":""10000322F1A3"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:28:02.200"",""source"":""10000322F1A3"",""header"":""300"",""payload"":""20000662F1A34834"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-04-29T10:28:02.200"",""source"":""10000322F1A3"",""header"":""300"",""payload"":""1136"",""tp20_label"":""TP2.0 application/control frame type=1 seq=1""}]",
direct_ctr0_22F1AA,direct_read,2026-04-29T10:28:03.104,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_22F1AA.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F1AA,,no_response,,,"[{""timestamp"":""2026-04-29T10:28:08.703"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1802FF00,direct_read,2026-04-29T10:28:12.069,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_1802FF00.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,1802FF00,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 58020C9820038B20,other,58010C9820,,"[{""timestamp"":""2026-04-29T10:28:17.689"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:28:18.993"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:28:18.993"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:28:20.160"",""source"":""1000041802FF00"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:28:20.160"",""source"":""1000041802FF00"",""header"":""300"",""payload"":""10000558010C9820"",""tp20_label"":""TP2.0 application first frame seq=0 len=5""}]",
direct_ctr0_1902FF,direct_read,2026-04-29T10:28:21.099,logs\drive_20260429_1008_live_r012_102708_core_direct_read_direct_ctr0_1902FF.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,1902FF,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 7F1911,no_response,,,"[{""timestamp"":""2026-04-29T10:28:26.818"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
