attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
scan_ctr0_1A9B,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,GetVagCanEcuInfoCommand::getRequest,VAGCAN20 ECU metadata/cache read; status=native_builder_recovered; setting=<ecu_info>,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,0,1A9B,ReadValuesOperation <ecu_info>: GetVagCanEcuInfoCommand::getRequest; path=VAGCAN20 ECU metadata/cache read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr1_1A9F,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,GetVagCanEcuListCommand::getRequest,VAGCAN20 ECU list/info read; status=native_builder_recovered; setting=<ecu_list>,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,1,1A9F,ReadValuesOperation <ecu_list>: GetVagCanEcuListCommand::getRequest; path=VAGCAN20 ECU list/info read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr2_1A9A,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,ReadVagCanLongCodingCommand::getRequest,VAGCAN20 long-coding read/cache path; status=native_builder_recovered; setting=<long_coding_cache>,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,2,1A9A,ReadValuesOperation <long_coding_cache>: ReadVagCanLongCodingCommand::getRequest; path=VAGCAN20 long-coding read/cache path; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr3_220600,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,ReadDataByIdentifierCommand(0600) / readVagUdsCodingValue,UDS coding current-value read on TP2.0 unit 09; status=live_positive_primary_coding_read; setting=<uds_coding_0600>,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,3,220600,ReadValuesOperation <uds_coding_0600>: ReadDataByIdentifierCommand(0600) / readVagUdsCodingValue; path=UDS coding current-value read on TP2.0 unit 09; status=live_positive_primary_coding_read,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr4_22110E,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_coming_leaving_home_output,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_coming_leaving_home_output,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,4,22110E,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_leaving_home_output: Coming/leaving-home output selector adaptation/coding candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr5_22056D,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_coming_home_via_fogs,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_coming_home_via_fogs,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,5,22056D,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr6_220550,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_coming_home_via_fogs,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_coming_home_via_fogs,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,6,220550,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr7_220551,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_coming_home_via_fogs,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_coming_home_via_fogs,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,7,220551,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr8_220D01,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_turn_off_fogs_with_high_beam,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_turn_off_fogs_with_high_beam,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,8,220D01,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
scan_ctr9_220A58,carista_ecu_scan,2026-05-04T14:38:16.882,logs\pq25_carista_ecu_scan_in_car_20260504_carista_ecu_scan_PQ25_BCM_UNIT_09_unit20_ctr0.txt,20,tp20_opened,PQ25_BCM_UNIT_09,VagCanSettings::getSettings/car_setting_turn_off_fogs_with_high_beam,ReadValuesOperation raw-value candidate from recovered Play 9.8.3 x86 setting constructor; status=unverified_live; setting=car_setting_turn_off_fogs_with_high_beam,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_ecu_scan,,,9,220A58,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:38:28.450"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
